# TF	Target	Type	Reference
ESR1	ABCG2	Unknown	10342828
ESR1	AHR	Unknown	10620335
ESR1	AMH	Activation	13678390
ESR1	AR	Activation	22391641
ESR1	AVP	Unknown	11089536
ESR1	BCL2	Activation	19148464
ESR1	BCL2	Unknown	10542244;11261829;9306964
ESR1	BLM	Activation	17268063
ESR1	BRCA1	Unknown	11782371
ESR1	BTG2	Repression	19117054
ESR1	CCNA2	Activation	17681750
ESR1	CCND1	Activation	12554765;15178330;17681750
ESR1	CCND1	Unknown	12929585;22892083
ESR1	CD24	Repression	18404683
ESR1	CDH1	Unknown	17893710
ESR1	CDK4	Unknown	22179484
ESR1	CDKN1A	Activation	11517191;15378598;16628468
ESR1	CDKN1A	Repression	17681750
ESR1	CDKN1B	Repression	17681750
ESR1	CEBPB	Unknown	19652226
ESR1	CHAT	Unknown	10037443
ESR1	CRH	Repression	12161509
ESR1	CRHBP	Activation	15345745
ESR1	CTNNB1	Repression	16628468
ESR1	CTSD	Unknown	10037443;19569049
ESR1	CXCL12	Unknown	18563714
ESR1	CYP19A1	Activation	12839940
ESR1	CYP1A1	Repression	15837795
ESR1	CYP1B1	Unknown	15126349
ESR1	CYP2C19	Repression	20675569
ESR1	DCT	Activation	15892717
ESR1	E2F1	Unknown	10446910;12697671
ESR1	EGFR	Unknown	12421825
ESR1	ESR1	Unknown	16636675
ESR1	ESRRA	Unknown	12960079
ESR1	F12	Activation	9794469
ESR1	FLT1	Unknown	17242190
ESR1	FOS	Unknown	10037443
ESR1	FOXP1	Activation	21901488
ESR1	GREB1	Activation	17666587
ESR1	GREB1	Unknown	21984905
ESR1	HSPB1	Activation	10960840
ESR1	HTRA2	Activation	21486948
ESR1	JAK2	Unknown	19876927
ESR1	JUN	Activation	11477071
ESR1	JUN	Unknown	10037443
ESR1	JUNB	Activation	11477071
ESR1	KDR	Activation	16574784
ESR1	KRT19	Activation	11026574
ESR1	MDM2	Unknown	12897156
ESR1	MICB	Unknown	23527639
ESR1	MMP13	Unknown	19185056
ESR1	MTA3	Unknown	15169784
ESR1	MYC	Unknown	11517191;19569049;22892083
ESR1	NQO1	Repression	20623181
ESR1	NR5A2	Unknown	16091743
ESR1	NRF1	Activation	21486948
ESR1	OXT	Unknown	10411324
ESR1	PELP1	Unknown	15087130
ESR1	PGR	Activation	10894148;12554765
ESR1	PGR	Unknown	10835496
ESR1	PLAC1	Activation	19652226
ESR1	PLAC1	Unknown	24304549
ESR1	PMAIP1	Activation	22216287
ESR1	PTMA	Repression	12149645
ESR1	RARA	Activation	9626663
ESR1	RET	Unknown	21737465;21947652
ESR1	RUNX2	Unknown	11604227
ESR1	SERPINB9	Unknown	11682627
ESR1	SERPINE1	Activation	15217907
ESR1	SP1	Unknown	19652226
ESR1	TAC3	Activation	14592957
ESR1	TERT	Activation	10805720;16690106;18754863
ESR1	TFF1	Activation	11517191;18543253
ESR1	TFF1	Unknown	10037443;21984905
ESR1	TGFA	Activation	11517191
ESR1	TGFA	Unknown	10828826
ESR1	TP53	Repression	17681750
ESR1	TYMS	Unknown	10875244
ESR1	UGT1A4	Activation	19546240
ESR1	UGT2B15	Activation	19487245
ESR1	VEGFA	Activation	19398483
ESR1	VEGFA	Unknown	10995484;14647449
ESR1	YWHAQ	Unknown	22329840
ESR1	ZEB1	Activation	22391641
ESR1	ZFHX3	Activation	21367855
